Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;Total Nacional;De 16 a 19 años;2019T3;130,1
Ambos sexos;Total Nacional;De 16 a 19 años;2019T2;128,9
Ambos sexos;Total Nacional;De 16 a 19 años;2019T1;123,3
Ambos sexos;Total Nacional;De 16 a 19 años;2018T4;120,1
Ambos sexos;Total Nacional;De 16 a 19 años;2018T3;137,8
Ambos sexos;Total Nacional;De 16 a 19 años;2018T2;139,7
Ambos sexos;Total Nacional;De 16 a 19 años;2018T1;132,8
Ambos sexos;Total Nacional;De 16 a 19 años;2017T4;140,2
Ambos sexos;Total Nacional;De 16 a 19 años;2017T3;150,3
Ambos sexos;Total Nacional;De 16 a 19 años;2017T2;141,1
Ambos sexos;Total Nacional;De 16 a 19 años;2017T1;134,5
Ambos sexos;Total Nacional;De 16 a 19 años;2016T4;137,5
Ambos sexos;Total Nacional;De 16 a 19 años;2016T3;146,3
Ambos sexos;Total Nacional;De 16 a 19 años;2016T2;147,8
Ambos sexos;Total Nacional;De 16 a 19 años;2016T1;143,6
Ambos sexos;Total Nacional;De 16 a 19 años;2015T4;155,1
Ambos sexos;Total Nacional;De 16 a 19 años;2015T3;185,9
Ambos sexos;Total Nacional;De 16 a 19 años;2015T2;177,3
Ambos sexos;Total Nacional;De 16 a 19 años;2015T1;170,8
Ambos sexos;Total Nacional;De 16 a 19 años;2014T4;168,2
Ambos sexos;Total Nacional;De 16 a 19 años;2014T3;183,6
Ambos sexos;Total Nacional;De 16 a 19 años;2014T2;171,2
Ambos sexos;Total Nacional;De 16 a 19 años;2014T1;169,5
Ambos sexos;Total Nacional;De 16 a 19 años;2013T4;201,1
Ambos sexos;Total Nacional;De 16 a 19 años;2013T3;232,8
Ambos sexos;Total Nacional;De 16 a 19 años;2013T2;205
Ambos sexos;Total Nacional;De 16 a 19 años;2013T1;206,8
Ambos sexos;Total Nacional;De 16 a 19 años;2012T4;194,2
Ambos sexos;Total Nacional;De 16 a 19 años;2012T3;242,5
Ambos sexos;Total Nacional;De 16 a 19 años;2012T2;236,5
Ambos sexos;Total Nacional;De 16 a 19 años;2012T1;214,7
Ambos sexos;Total Nacional;De 16 a 19 años;2011T4;208
Ambos sexos;Total Nacional;De 16 a 19 años;2011T3;238,1
Ambos sexos;Total Nacional;De 16 a 19 años;2011T2;220,7
Ambos sexos;Total Nacional;De 16 a 19 años;2011T1;216,4
Ambos sexos;Total Nacional;De 16 a 19 años;2010T4;219,2
Ambos sexos;Total Nacional;De 16 a 19 años;2010T3;245,8
Ambos sexos;Total Nacional;De 16 a 19 años;2010T2;259,2
Ambos sexos;Total Nacional;De 16 a 19 años;2010T1;233,8
Ambos sexos;Total Nacional;De 16 a 19 años;2009T4;220,7
Ambos sexos;Total Nacional;De 16 a 19 años;2009T3;263
Ambos sexos;Total Nacional;De 16 a 19 años;2009T2;266,4
Ambos sexos;Total Nacional;De 16 a 19 años;2009T1;258,4
Ambos sexos;Total Nacional;De 16 a 19 años;2008T4;228
Ambos sexos;Total Nacional;De 16 a 19 años;2008T3;230,9
Ambos sexos;Total Nacional;De 16 a 19 años;2008T2;224,4
Ambos sexos;Total Nacional;De 16 a 19 años;2008T1;172,1
Ambos sexos;Total Nacional;De 16 a 19 años;2007T4;164,1
Ambos sexos;Total Nacional;De 16 a 19 años;2007T3;169
Ambos sexos;Total Nacional;De 16 a 19 años;2007T2;165,8
Ambos sexos;Total Nacional;De 16 a 19 años;2007T1;141,5
Ambos sexos;Total Nacional;De 16 a 19 años;2006T4;165,4
Ambos sexos;Total Nacional;De 16 a 19 años;2006T3;149,9
Ambos sexos;Total Nacional;De 16 a 19 años;2006T2;170,4
Ambos sexos;Total Nacional;De 16 a 19 años;2006T1;149,4
Ambos sexos;Total Nacional;De 16 a 19 años;2005T4;144,7
Ambos sexos;Total Nacional;De 16 a 19 años;2005T3;159,9
Ambos sexos;Total Nacional;De 16 a 19 años;2005T2;171,9
Ambos sexos;Total Nacional;De 16 a 19 años;2005T1;158,5
Ambos sexos;Total Nacional;De 16 a 19 años;2004T4;139,2
Ambos sexos;Total Nacional;De 16 a 19 años;2004T3;154,9
Ambos sexos;Total Nacional;De 16 a 19 años;2004T2;150,9
Ambos sexos;Total Nacional;De 16 a 19 años;2004T1;150
Ambos sexos;Total Nacional;De 16 a 19 años;2003T4;155,1
Ambos sexos;Total Nacional;De 16 a 19 años;2003T3;165,9
Ambos sexos;Total Nacional;De 16 a 19 años;2003T2;169,3
Ambos sexos;Total Nacional;De 16 a 19 años;2003T1;160,5
Ambos sexos;Total Nacional;De 16 a 19 años;2002T4;156,7
Ambos sexos;Total Nacional;De 16 a 19 años;2002T3;162,2
Ambos sexos;Total Nacional;De 16 a 19 años;2002T2;145,5
Ambos sexos;Total Nacional;De 16 a 19 años;2002T1;144,5
Ambos sexos;Total Nacional;De 20 a 24 años;2024T3;374,4
Ambos sexos;Total Nacional;De 20 a 24 años;2024T2;322
Ambos sexos;Total Nacional;De 20 a 24 años;2024T1;348,7
Ambos sexos;Total Nacional;De 20 a 24 años;2023T4;362,9
Ambos sexos;Total Nacional;De 20 a 24 años;2023T3;376,5
Ambos sexos;Total Nacional;De 20 a 24 años;2023T2;345,6
Ambos sexos;Total Nacional;De 20 a 24 años;2023T1;353,3
Ambos sexos;Total Nacional;De 20 a 24 años;2022T4;346,5
Ambos sexos;Total Nacional;De 20 a 24 años;2022T3;382,7
Ambos sexos;Total Nacional;De 20 a 24 años;2022T2;331,3
Ambos sexos;Total Nacional;De 20 a 24 años;2022T1;334
Ambos sexos;Total Nacional;De 20 a 24 años;2021T4;333,4
Ambos sexos;Total Nacional;De 20 a 24 años;2021T3;386,2
Ambos sexos;Total Nacional;De 20 a 24 años;2021T2;444,7
Ambos sexos;Total Nacional;De 20 a 24 años;2021T1;431,9
Ambos sexos;Total Nacional;De 20 a 24 años;2020T4;441,3
Ambos sexos;Total Nacional;De 20 a 24 años;2020T3;472,2
Ambos sexos;Total Nacional;De 20 a 24 años;2020T2;402
Ambos sexos;Total Nacional;De 20 a 24 años;2020T1;369,7
Ambos sexos;Total Nacional;De 20 a 24 años;2019T4;348,1
Ambos sexos;Total Nacional;De 20 a 24 años;2019T3;394,9
Ambos sexos;Total Nacional;De 20 a 24 años;2019T2;377,8
Ambos sexos;Total Nacional;De 20 a 24 años;2019T1;385,5
Ambos sexos;Total Nacional;De 20 a 24 años;2018T4;382,8
Ambos sexos;Total Nacional;De 20 a 24 años;2018T3;391
Ambos sexos;Total Nacional;De 20 a 24 años;2018T2;383
Ambos sexos;Total Nacional;De 20 a 24 años;2018T1;382,4
Ambos sexos;Total Nacional;De 20 a 24 años;2017T4;418
Ambos sexos;Total Nacional;De 20 a 24 años;2017T3;428,8
Ambos sexos;Total Nacional;De 20 a 24 años;2017T2;442,7
Ambos sexos;Total Nacional;De 20 a 24 años;2017T1;457,3
Ambos sexos;Total Nacional;De 20 a 24 años;2016T4;476,4
Ambos sexos;Total Nacional;De 20 a 24 años;2016T3;501,1
Ambos sexos;Total Nacional;De 20 a 24 años;2016T2;545
Ambos sexos;Total Nacional;De 20 a 24 años;2016T1;526,5
Ambos sexos;Total Nacional;De 20 a 24 años;2015T4;532,5
Ambos sexos;Total Nacional;De 20 a 24 años;2015T3;580,8
Ambos sexos;Total Nacional;De 20 a 24 años;2015T2;589,9
Ambos sexos;Total Nacional;De 20 a 24 años;2015T1;611,3
Ambos sexos;Total Nacional;De 20 a 24 años;2014T4;645,5
Ambos sexos;Total Nacional;De 20 a 24 años;2014T3;684
Ambos sexos;Total Nacional;De 20 a 24 años;2014T2;669,4
Ambos sexos;Total Nacional;De 20 a 24 años;2014T1;711,9
Ambos sexos;Total Nacional;De 20 a 24 años;2013T4;706
Ambos sexos;Total Nacional;De 20 a 24 años;2013T3;728,8
Ambos sexos;Total Nacional;De 20 a 24 años;2013T2;750
Ambos sexos;Total Nacional;De 20 a 24 años;2013T1;773,9
Ambos sexos;Total Nacional;De 20 a 24 años;2012T4;751,4
Ambos sexos;Total Nacional;De 20 a 24 años;2012T3;738,9
Ambos sexos;Total Nacional;De 20 a 24 años;2012T2;731,2
Ambos sexos;Total Nacional;De 20 a 24 años;2012T1;715,1
Ambos sexos;Total Nacional;De 20 a 24 años;2011T4;679,6
Ambos sexos;Total Nacional;De 20 a 24 años;2011T3;686,1
Ambos sexos;Total Nacional;De 20 a 24 años;2011T2;671,6
Ambos sexos;Total Nacional;De 20 a 24 años;2011T1;656,4
Ambos sexos;Total Nacional;De 20 a 24 años;2010T4;627,6
Ambos sexos;Total Nacional;De 20 a 24 años;2010T3;619,9
Ambos sexos;Total Nacional;De 20 a 24 años;2010T2;619,8
Ambos sexos;Total Nacional;De 20 a 24 años;2010T1;606,9
Ambos sexos;Total Nacional;De 20 a 24 años;2009T4;599,5
Ambos sexos;Total Nacional;De 20 a 24 años;2009T3;628,8
Ambos sexos;Total Nacional;De 20 a 24 años;2009T2;594,3
Ambos sexos;Total Nacional;De 20 a 24 años;2009T1;555
Ambos sexos;Total Nacional;De 20 a 24 años;2008T4;459,7
Ambos sexos;Total Nacional;De 20 a 24 años;2008T3;386,5
Ambos sexos;Total Nacional;De 20 a 24 años;2008T2;348,5
Ambos sexos;Total Nacional;De 20 a 24 años;2008T1;327,8
Ambos sexos;Total Nacional;De 20 a 24 años;2007T4;285,2
Ambos sexos;Total Nacional;De 20 a 24 años;2007T3;292,7
Ambos sexos;Total Nacional;De 20 a 24 años;2007T2;279
Ambos sexos;Total Nacional;De 20 a 24 años;2007T1;281,6
Ambos sexos;Total Nacional;De 20 a 24 años;2006T4;270,4
Ambos sexos;Total Nacional;De 20 a 24 años;2006T3;284,9
Ambos sexos;Total Nacional;De 20 a 24 años;2006T2;282,5
Ambos sexos;Total Nacional;De 20 a 24 años;2006T1;306,8
Ambos sexos;Total Nacional;De 20 a 24 años;2005T4;316,1
Ambos sexos;Total Nacional;De 20 a 24 años;2005T3;311,3
Ambos sexos;Total Nacional;De 20 a 24 años;2005T2;340,8
Ambos sexos;Total Nacional;De 20 a 24 años;2005T1;377,2
Ambos sexos;Total Nacional;De 20 a 24 años;2004T4;368,5
Ambos sexos;Total Nacional;De 20 a 24 años;2004T3;386
Ambos sexos;Total Nacional;De 20 a 24 años;2004T2;389,4
Ambos sexos;Total Nacional;De 20 a 24 años;2004T1;391,8
Ambos sexos;Total Nacional;De 20 a 24 años;2003T4;401,8
Ambos sexos;Total Nacional;De 20 a 24 años;2003T3;397
Ambos sexos;Total Nacional;De 20 a 24 años;2003T2;375,2
Ambos sexos;Total Nacional;De 20 a 24 años;2003T1;405,3
Ambos sexos;Total Nacional;De 20 a 24 años;2002T4;411
Ambos sexos;Total Nacional;De 20 a 24 años;2002T3;397,3
Ambos sexos;Total Nacional;De 20 a 24 años;2002T2;380,8
Ambos sexos;Total Nacional;De 20 a 24 años;2002T1;396,4
Ambos sexos;Total Nacional;De 25 a 34 años;2024T3;626,1
Ambos sexos;Total Nacional;De 25 a 34 años;2024T2;605,6
Ambos sexos;Total Nacional;De 25 a 34 años;2024T1;644,1
Ambos sexos;Total Nacional;De 25 a 34 años;2023T4;644
Ambos sexos;Total Nacional;De 25 a 34 años;2023T3;631,6
Ambos sexos;Total Nacional;De 25 a 34 años;2023T2;591,2
Ambos sexos;Total Nacional;De 25 a 34 años;2023T1;707,3
Ambos sexos;Total Nacional;De 25 a 34 años;2022T4;674,4
Ambos sexos;Total Nacional;De 25 a 34 años;2022T3;657,3
Ambos sexos;Total Nacional;De 25 a 34 años;2022T2;606
Ambos sexos;Total Nacional;De 25 a 34 años;2022T1;714,5
Ambos sexos;Total Nacional;De 25 a 34 años;2021T4;732,5
Ambos sexos;Total Nacional;De 25 a 34 años;2021T3;804,7
Ambos sexos;Total Nacional;De 25 a 34 años;2021T2;860,1
Ambos sexos;Total Nacional;De 25 a 34 años;2021T1;914,4
Ambos sexos;Total Nacional;De 25 a 34 años;2020T4;915
Ambos sexos;Total Nacional;De 25 a 34 años;2020T3;947,4
Ambos sexos;Total Nacional;De 25 a 34 años;2020T2;861
Ambos sexos;Total Nacional;De 25 a 34 años;2020T1;770,5
Ambos sexos;Total Nacional;De 25 a 34 años;2019T4;746,3
Ambos sexos;Total Nacional;De 25 a 34 años;2019T3;743,3
Ambos sexos;Total Nacional;De 25 a 34 años;2019T2;723,7
Ambos sexos;Total Nacional;De 25 a 34 años;2019T1;750,5
Ambos sexos;Total Nacional;De 25 a 34 años;2018T4;765
Ambos sexos;Total Nacional;De 25 a 34 años;2018T3;776
Ambos sexos;Total Nacional;De 25 a 34 años;2018T2;797,1
Ambos sexos;Total Nacional;De 25 a 34 años;2018T1;887,4
Ambos sexos;Total Nacional;De 25 a 34 años;2017T4;879,9
Ambos sexos;Total Nacional;De 25 a 34 años;2017T3;874,1
Ambos sexos;Total Nacional;De 25 a 34 años;2017T2;912
Ambos sexos;Total Nacional;De 25 a 34 años;2017T1;976,8
Ambos sexos;Total Nacional;De 25 a 34 años;2016T4;998,5
Ambos sexos;Total Nacional;De 25 a 34 años;2016T3;1.010,4
Ambos sexos;Total Nacional;De 25 a 34 años;2016T2;1.090,7
Ambos sexos;Total Nacional;De 25 a 34 años;2016T1;1.173,6
Ambos sexos;Total Nacional;De 25 a 34 años;2015T4;1.165,8
Ambos sexos;Total Nacional;De 25 a 34 años;2015T3;1.187,9
Ambos sexos;Total Nacional;De 25 a 34 años;2015T2;1.272,9
Ambos sexos;Total Nacional;De 25 a 34 años;2015T1;1.392,8
Ambos sexos;Total Nacional;De 25 a 34 años;2014T4;1.380,5
Ambos sexos;Total Nacional;De 25 a 34 años;2014T3;1.357,6
Ambos sexos;Total Nacional;De 25 a 34 años;2014T2;1.430,5
Ambos sexos;Total Nacional;De 25 a 34 años;2014T1;1.571,1
Ambos sexos;Total Nacional;De 25 a 34 años;2013T4;1.596,3
Ambos sexos;Total Nacional;De 25 a 34 años;2013T3;1.582,3
Ambos sexos;Total Nacional;De 25 a 34 años;2013T2;1.644,4
Ambos sexos;Total Nacional;De 25 a 34 años;2013T1;1.760,1
Ambos sexos;Total Nacional;De 25 a 34 años;2012T4;1.732,9
Ambos sexos;Total Nacional;De 25 a 34 años;2012T3;1.645,3
Ambos sexos;Total Nacional;De 25 a 34 años;2012T2;1.606,8
Ambos sexos;Total Nacional;De 25 a 34 años;2012T1;1.623,2
Ambos sexos;Total Nacional;De 25 a 34 años;2011T4;1.509,6
Ambos sexos;Total Nacional;De 25 a 34 años;2011T3;1.426,3
Ambos sexos;Total Nacional;De 25 a 34 años;2011T2;1.439,3
Ambos sexos;Total Nacional;De 25 a 34 años;2011T1;1.487
Ambos sexos;Total Nacional;De 25 a 34 años;2010T4;1.417,6
Ambos sexos;Total Nacional;De 25 a 34 años;2010T3;1.380,1
Ambos sexos;Total Nacional;De 25 a 34 años;2010T2;1.379,7
Ambos sexos;Total Nacional;De 25 a 34 años;2010T1;1.438,4
Ambos sexos;Total Nacional;De 25 a 34 años;2009T4;1.340,9
Ambos sexos;Total Nacional;De 25 a 34 años;2009T3;1.258
Ambos sexos;Total Nacional;De 25 a 34 años;2009T2;1.253,6
Ambos sexos;Total Nacional;De 25 a 34 años;2009T1;1.253,6
Ambos sexos;Total Nacional;De 25 a 34 años;2008T4;999,2
Ambos sexos;Total Nacional;De 25 a 34 años;2008T3;798,7
Ambos sexos;Total Nacional;De 25 a 34 años;2008T2;716,5
Ambos sexos;Total Nacional;De 25 a 34 años;2008T1;652,2
Ambos sexos;Total Nacional;De 25 a 34 años;2007T4;584,5
Ambos sexos;Total Nacional;De 25 a 34 años;2007T3;524,6
Ambos sexos;Total Nacional;De 25 a 34 años;2007T2;499,3
Ambos sexos;Total Nacional;De 25 a 34 años;2007T1;568,2
Ambos sexos;Total Nacional;De 25 a 34 años;2006T4;564
Ambos sexos;Total Nacional;De 25 a 34 años;2006T3;556,1
Ambos sexos;Total Nacional;De 25 a 34 años;2006T2;595
Ambos sexos;Total Nacional;De 25 a 34 años;2006T1;632,2
Ambos sexos;Total Nacional;De 25 a 34 años;2005T4;602,7
Ambos sexos;Total Nacional;De 25 a 34 años;2005T3;559,9
Ambos sexos;Total Nacional;De 25 a 34 años;2005T2;617
Ambos sexos;Total Nacional;De 25 a 34 años;2005T1;663,7
Ambos sexos;Total Nacional;De 25 a 34 años;2004T4;696,5
Ambos sexos;Total Nacional;De 25 a 34 años;2004T3;712,3
Ambos sexos;Total Nacional;De 25 a 34 años;2004T2;734,9
Ambos sexos;Total Nacional;De 25 a 34 años;2004T1;791,2
Ambos sexos;Total Nacional;De 25 a 34 años;2003T4;773,2
Ambos sexos;Total Nacional;De 25 a 34 años;2003T3;778,2
Ambos sexos;Total Nacional;De 25 a 34 años;2003T2;752
Ambos sexos;Total Nacional;De 25 a 34 años;2003T1;801
Ambos sexos;Total Nacional;De 25 a 34 años;2002T4;751,2
Ambos sexos;Total Nacional;De 25 a 34 años;2002T3;740,3
Ambos sexos;Total Nacional;De 25 a 34 años;2002T2;710,8
Ambos sexos;Total Nacional;De 25 a 34 años;2002T1;739,8
Ambos sexos;Total Nacional;De 35 a 44 años;2024T3;503,8
Ambos sexos;Total Nacional;De 35 a 44 años;2024T2;525,7
Ambos sexos;Total Nacional;De 35 a 44 años;2024T1;621,7
Ambos sexos;Total Nacional;De 35 a 44 años;2023T4;573
Ambos sexos;Total Nacional;De 35 a 44 años;2023T3;563,2
Ambos sexos;Total Nacional;De 35 a 44 años;2023T2;586,7
Ambos sexos;Total Nacional;De 35 a 44 años;2023T1;692,5
Ambos sexos;Total Nacional;De 35 a 44 años;2022T4;671,5
Ambos sexos;Total Nacional;De 35 a 44 años;2022T3;644,5
Ambos sexos;Total Nacional;De 35 a 44 años;2022T2;656
Ambos sexos;Total Nacional;De 35 a 44 años;2022T1;710,5
Ambos sexos;Total Nacional;De 35 a 44 años;2021T4;658
Ambos sexos;Total Nacional;De 35 a 44 años;2021T3;745,5
Ambos sexos;Total Nacional;De 35 a 44 años;2021T2;787,8
Ambos sexos;Total Nacional;De 35 a 44 años;2021T1;863,5
Ambos sexos;Total Nacional;De 35 a 44 años;2020T4;861,9
Ambos sexos;Total Nacional;De 35 a 44 años;2020T3;830
Ambos sexos;Total Nacional;De 35 a 44 años;2020T2;798,7
Ambos sexos;Total Nacional;De 35 a 44 años;2020T1;781,1
Ambos sexos;Total Nacional;De 35 a 44 años;2019T4;729,4
Ambos sexos;Total Nacional;De 35 a 44 años;2019T3;736,1
Ambos sexos;Total Nacional;De 35 a 44 años;2019T2;746,1
Ambos sexos;Total Nacional;De 35 a 44 años;2019T1;792,6
Ambos sexos;Total Nacional;De 35 a 44 años;2018T4;777,4
Ambos sexos;Total Nacional;De 35 a 44 años;2018T3;789,6
Ambos sexos;Total Nacional;De 35 a 44 años;2018T2;812,8
Ambos sexos;Total Nacional;De 35 a 44 años;2018T1;930,9
Ambos sexos;Total Nacional;De 35 a 44 años;2017T4;910,4
Ambos sexos;Total Nacional;De 35 a 44 años;2017T3;892,5
Ambos sexos;Total Nacional;De 35 a 44 años;2017T2;952,4
Ambos sexos;Total Nacional;De 35 a 44 años;2017T1;1.099,4
Ambos sexos;Total Nacional;De 35 a 44 años;2016T4;1.066,6
Ambos sexos;Total Nacional;De 35 a 44 años;2016T3;1.090,1
Ambos sexos;Total Nacional;De 35 a 44 años;2016T2;1.166,5
Ambos sexos;Total Nacional;De 35 a 44 años;2016T1;1.238
Ambos sexos;Total Nacional;De 35 a 44 años;2015T4;1.221,2
Ambos sexos;Total Nacional;De 35 a 44 años;2015T3;1.187,3
Ambos sexos;Total Nacional;De 35 a 44 años;2015T2;1.329,9
Ambos sexos;Total Nacional;De 35 a 44 años;2015T1;1.428,2
Ambos sexos;Total Nacional;De 35 a 44 años;2014T4;1.445,8
Ambos sexos;Total Nacional;De 35 a 44 años;2014T3;1.415,2
Ambos sexos;Total Nacional;De 35 a 44 años;2014T2;1.478,1
Ambos sexos;Total Nacional;De 35 a 44 años;2014T1;1.574,8
Ambos sexos;Total Nacional;De 35 a 44 años;2013T4;1.561,5
Ambos sexos;Total Nacional;De 35 a 44 años;2013T3;1.551,4
Ambos sexos;Total Nacional;De 35 a 44 años;2013T2;1.586,9
Ambos sexos;Total Nacional;De 35 a 44 años;2013T1;1.660,5
Ambos sexos;Total Nacional;De 35 a 44 años;2012T4;1.598,1
Ambos sexos;Total Nacional;De 35 a 44 años;2012T3;1.496,9
Ambos sexos;Total Nacional;De 35 a 44 años;2012T2;1.500,7
Ambos sexos;Total Nacional;De 35 a 44 años;2012T1;1.515,2
Ambos sexos;Total Nacional;De 35 a 44 años;2011T4;1.423,9
Ambos sexos;Total Nacional;De 35 a 44 años;2011T3;1.301,2
Ambos sexos;Total Nacional;De 35 a 44 años;2011T2;1.244,3
Ambos sexos;Total Nacional;De 35 a 44 años;2011T1;1.262,9
Ambos sexos;Total Nacional;De 35 a 44 años;2010T4;1.206,6
Ambos sexos;Total Nacional;De 35 a 44 años;2010T3;1.196,3
Ambos sexos;Total Nacional;De 35 a 44 años;2010T2;1.207,6
